method,year,modularity,n_communities
girvan_newman,2015,0.08157533,11
girvan_newman_inverted,2015,0.0647425881,6
girvan_newman,2013,0.0786083826,72
girvan_newman_inverted,2013,0.0561730928,9
girvan_newman,2011,0.0951073673,64
girvan_newman_inverted,2011,0.0130702909,6
girvan_newman,2009,0.0607461074,50
girvan_newman_inverted,2009,0.0150008797,3
girvan_newman,2007,0.0311535665,149
girvan_newman_inverted,2007,0.0193671557,4
girvan_newman,2001,0.0482093387,11
girvan_newman_inverted,2001,0.0403300468,45
girvan_newman,2005,0.032750845,139
girvan_newman,2003,0.0725814372,60
girvan_newman_inverted,2005,0.0116492593,4
girvan_newman_inverted,2003,0.026305083,171
girvan_newman,1997,0.0575833854,60
girvan_newman,1999,0.0442967311,63
girvan_newman_inverted,1999,0.0269087777,3
girvan_newman_inverted,1997,0.0293348758,2
girvan_newman,1993,0.0569583404,71
girvan_newman,1995,0.0998847722,45
girvan_newman_inverted,1993,0.039583009,4
girvan_newman_inverted,1995,0.0562954038,37
girvan_newman,1991,0.0913279679,65
girvan_newman_inverted,1991,0.0278473306,156
girvan_newman,1987,0.1231528041,21
girvan_newman,1989,0.0971368227,74
girvan_newman_inverted,1987,0.0371299846,166
girvan_newman_inverted,1989,0.0466956303,167
girvan_newman,1988,0.1102320416,20
girvan_newman,1990,0.1420197835,19
girvan_newman_inverted,1988,0.0379091224,173
girvan_newman_inverted,1990,0.0549729464,163
girvan_newman,1994,0.095884671,59
girvan_newman,1992,0.0919153388,75
girvan_newman_inverted,1994,0.0411629147,3
girvan_newman_inverted,1992,0.0359540561,3
girvan_newman,1998,0.0480421055,79
girvan_newman_inverted,1998,0.0365711956,40
girvan_newman,1996,0.07843938,71
girvan_newman_inverted,1996,0.0341237668,55
girvan_newman,2000,0.0238565817,11
girvan_newman_inverted,2000,0.0262215784,3
girvan_newman,2002,0.0470421021,53
girvan_newman_inverted,2002,0.060008537,35
girvan_newman,2004,0.0418340547,70
girvan_newman_inverted,2004,0.0379872461,55
girvan_newman,2006,0.0630021244,67
girvan_newman_inverted,2006,0.0071118408,2
girvan_newman,2008,0.0277707975,11
girvan_newman,2010,0.071086181,60
girvan_newman_inverted,2008,0.0085952973,3
girvan_newman_inverted,2010,0.0096331757,3
girvan_newman,2012,0.0691903746,51
girvan_newman,2014,0.0842713876,49
girvan_newman_inverted,2012,0.008774456,3
girvan_newman_inverted,2014,0.0524187533,78
walktrap,2015,0.221844,99
walktrap,2014,0.243307,68
walktrap,2013,0.24666,57
walktrap,2012,0.276997,53
walktrap,2011,0.262555,48
walktrap,2010,0.28705,52
walktrap,2009,0.288944,53
walktrap,2008,0.288033,58
walktrap,2007,0.280157,60
walktrap,2006,0.296289,51
walktrap,2005,0.281887,44
walktrap,2004,0.243339,43
walktrap,2003,0.224187,46
walktrap,2002,0.235315,56
walktrap,2001,0.255082,40
walktrap,2000,0.250307,43
walktrap,1999,0.239342,46
walktrap,1998,0.231183,48
walktrap,1997,0.240436,43
walktrap,1996,0.24708,45
walktrap,1995,0.259042,31
walktrap,1994,0.266891,26
walktrap,1993,0.246013,21
walktrap,1992,0.284293,27
walktrap,1991,0.288633,14
walktrap,1990,0.29839,18
walktrap,1989,0.30816,23
walktrap,1988,0.327241,12
walktrap,1987,0.324841,18
